Common name,Hydroxychlorothalonil ,Acephate,Acetamiprid,Ametryn,Amitraz,Atrazine,Avermectin B1a,Azoxystrobin,Bendiocarb,Boscalid,Bromuconazole,Carbaryl,Carbofuran,Chlorantraniliprole,Chlorpyrifos,Clomazone,Clothianidin,Coumaphos,Cyanazine,Cyantraniliprole,Cyflufenamid,Cyprodinil,Cyromazine,Difenoconazole,Diflubenzuron,Dimoxystrobin,Dinotefuran,Diuron,Fenamidone,Fenbuconazole,Fenhexamid,Fenpyroximate,Fipronil,Fluazifop,Fluazinam,Fludioxonil,Flufenacet,Flumioxazin,Fluometuron,Fluopicolide,Fluopyram,Fluoxastrobin,Flupyradifurone,Fluxapyroxad,Fumagillin,Hexaflumuron,Imidacloprid,Indoxacarb,Malaoxon,Mandipropamid,Metalaxyl,Metazachlor,Metconazole,Methiocarb,Methoprotryne,Methoxyfenozide,Metobromuron,Metolachlor,Mevinphos,Myclobutanil,Napropamide,Penthiopyrad,Phenmedipham,Phosmet,Picoxystrobin,Piperonyl butoxide,Profenophos,Prometon,Prometryn,Propazine,Propiconazole,Pyraclostrobin,Pyrimethanil,Spinetoram,Spinosad,Spirotetramat,Sulfentrazone,Sulfoxaflor,Tebuconazole,Tebufenozide,Tebuthiuron,Terbutryn,Tetraconazole,Tetramethrin,Thiabendazole,Thiacloprid,Thiamethoxam,Thiobencarb,Thiophanate-methyl,Triadimefon,Trifloxystrobin,Triflumizole
Honey bee contact LD50 (ppb),1350000,12000,79000,1000000,500000,970000,35,2000000,4300,2000000,5000000,2320,1600,7060,100,1000000,390,203000,1934000,900,1000000,1000000,350000,1000000,25800,1000000,470,1450000,471000,2920000,2070000,110000,60,630000,1430000,500000,250000,1050000,1934000,1000000,1000000,2000000,1000000,1000000,NA,583000,440,1180,2000,2000000,1410000,0,1000000,2900,0,1000000,0,1100000,700,396000,0,3120000,2417000,660,2000000,110000,950,360000,966900,1000000,500000,1000000,1000000,240,30,2420000,250000,1300,2000000,2340000,1000000,1600,630000,1550,40000,378300,240,0,1000000,500000,2000000,1400000
Honey bee oral LD50 (ppb),630000,2300,140000,NA,0,0,0,250000,5200,1660000,1000000,1500,0,274,510,853000,40,46000,0,1100,1000000,1000000,200000,1770000,1000000,790000,220,0,1590000,0,17000,1185000,10,1800000,1000000,3290000,0,NA,0,2410000,1023000,8430000,1080000,1109000,NA,568000,40,2600,3800,2000000,2690000,0,870000,4700,0,1000000,0,1100000,0,340000,1135000,3850000,0,1500,2000000,0,0,0,0,0,770000,730000,1000000,1400,570,1950000,NA,515,830000,0,0,12200,1300000,0,340000,173200,50,0,1000000,0,2000000,0
