Filename,Sample ID,Mass (g),Sample type,Unique ID,Site,Cyromazine,Acephate,Dinotefuran,Thiabendazole,Thiamethoxam,Clothianidin,Mevinphos,Imidacloprid,Acetamiprid,Flupyradifurone,Thiacloprid,Sulfoxaflor,Tebuthiuron,Prometon,Cyanazine,Thiophanate-methyl,Ametryn,Methoprotryne,Bendiocarb,Malaoxon,Carbofuran,Pyrimethanil,Carbaryl,Fluometuron,Atrazine,Hydroxychlorothalonil ,Sulfentrazone,Diuron,Metalaxyl,Cyantraniliprole,Metobromuron,Prometryn,Terbutryn,Metazachlor,Clomazone,Propazine,Chlorantraniliprole,Methiocarb,Phenmedipham,Fluazifop,Flumioxazin,Fludioxonil,Cyprodinil,Spirotetramat,Phosmet,Bromuconazole,Azoxystrobin,Myclobutanil,Fenamidone,Triadimefon,Boscalid,Fluxapyroxad,Mandipropamid,Fenhexamid,Napropamide,Fluopicolide,Tetraconazole,Tebuconazole,Spinosad,Fluopyram,Methoxyfenozide,Diflubenzuron,Fenbuconazole,Metolachlor,Metconazole,Flufenacet,Dimoxystrobin,Propiconazole,Fluoxastrobin,Fumagillin,Tebufenozide,Spinetoram,Triflumizole,Fipronil,Picoxystrobin,Difenoconazole,Penthiopyrad,Coumaphos,Pyraclostrobin,Thiobencarb,Hexaflumuron,Profenophos,Cyflufenamid,Indoxacarb,Trifloxystrobin,Piperonyl butoxide,Tetramethrin,Fluazinam,Chlorpyrifos,Fenpyroximate,Amitraz,Avermectin B1a,Number of Pesticides Per Sample,ppb
2020nov10_USDA_fungicides_2019_sample_122,Honeybee worker_16,0.093,Apis mellifera worker,,Reisingers,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
2020nov10_USDA_fungicides_2019_sample_124,Small Andrena_01,0.07,Andrena sp.,R520.PKAS1,Reisingers,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,175.8,0,0,9.1,0,0,0,0,0,36.4,0,0,0,0,0,0,0,8,268.9
2020nov10_USDA_fungicides_2019_sample_146,Large Andrena_22,0.102,Andrena (Melandrena),R520.CUAM1,Reisingers,0,0,0,0.01,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,8,7.2
2020nov10_USDA_fungicides_2019_sample_062,Wax_11,5,Bumble bee wax,,Simpelaar,0,0,0,0,0,0,0,0,2.5,0,0,0,0.3,0,0,0,0,0,0,0,0,0.5,32.2,0,1,9.9,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,2.7,0,0,0,0.4,0,0,0,0,70,0.3,0,0,0,0,2,0,0.1,0.9,0,1.3,3,0,0,0,2,0,0,0,0,0,0,0.4,45.3,0.2,0,109,0,0,0,0,1153.1,1.6,0.8,0,0,0,0,0,0,24,1440.9
2020nov10_USDA_fungicides_2019_sample_166,Pollen_02,3.75,Honey bee pollen,,Simpelaar,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.5,0,0,1.8,10,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,16.6,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0.2,0,0,1,2.3,0,0,0,0,0.2,0,0,0,0,0,0,66.4,0,0,2.4,0,0,0,0,3,2.2,0,0,0,30,0,0,0,16,141.1
2020nov10_USDA_fungicides_2019_sample_191,Nectar_06,4.15,Nectar,,Simpelaar,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4
2020nov10_USDA_fungicides_2019_sample_238,Apple flower_31,1.47,Apple flower,,Simpelaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,8.4,6.8,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0.5,0,0,0,0,0,1.1,0,0,0,0,0,0,0,10,11023.6
2020nov10_USDA_fungicides_2019_sample_239,Apple flower_32,1.46,Apple flower,,Simpelaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,34.1,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,7,58.7
2020nov10_USDA_fungicides_2019_sample_263,Dandelion flower_15,1.8,Dandelion flower,,Simpelaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.7
2020nov10_USDA_fungicides_2019_sample_264,Dandelion flower_16,1.98,Dandelion flower,,Simpelaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7.2
2020nov10_USDA_fungicides_2019_sample_028,Mason bee pollen_12,0.504,Mason bee pollen provision,,Simpelaar,0,0,0,0.3,2.5,0.14,0,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.04,316.4,0,3.8,0,0,0,0.01,0,0,0,0,0,0,0.01,4.5,0,0,0,0,0,2.6,0,0,0,0.01,0,0,0,0,25.3,0,0,0,0,0,0,0,0.2,0,0,0.07,15.9,0,0,0,0,0,0,0,0,0,0,0,13.1,0.3,0,23.9,0,0,0,0,219.6,1.8,0,0,0,0,0,0,0,22,632.1
2020nov10_USDA_fungicides_2019_sample_041,Bumblebee Queen_07,0.729,Bombus impatiens queen,S521.CUBI1,Simpelaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0.1,0,0,0,0,0,0.6,0,0,0,0,0,0,0,6,5.8
2020nov10_USDA_fungicides_2019_sample_101,Bumblebee worker_16,0.147,Bombus impatiens worker,,Simpelaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.8,0,0,0,0,0.21,0,0,0,0,0,0,0,0,4,1.1
2020nov10_USDA_fungicides_2019_sample_108,Honeybee worker_02,0.081,Apis mellifera worker,,Simpelaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,23.5,0,0,0,0,0,0,0,0,4,28.1
2020nov10_USDA_fungicides_2019_sample_130,Small Andrena_07,0.061,Andrena sp.,S521.NBAS2,Simpelaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
2020nov10_USDA_fungicides_2019_sample_149,Large Andrena_25,0.087,Andrena (Melandrena),S521.BDAM1,Simpelaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.1
